empl_id,id,name
1564038,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
1564038,11.459,"Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок"
2624107,36.403,Государственные организации
2624107,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
2624107,7.540,Разработка программного обеспечения
3544865,44.393,Консалтинговые услуги
3544865,44.391,Кадровые агентства
228,33.436,"Продукция железнодорожного машиностроения, вагоностроения (монтаж, сервис, ремонт)"
228,33.432,"Двигатели (монтаж, сервис, ремонт)"
228,33.431,Двигатели (производство)
228,388.488,"Медицинское, диагностическое оборудование, инструменты (монтаж, сервис, ремонт)"
228,8.482,"Промышленное, бытовое электрооборудование и электротехника (монтаж, сервис, ремонт)"
2921408,13.659,Строительство промышленное
2921408,13.663,"Архитектура, проектирование"
2921408,13.655,Строительство объектов нефтегазовой отрасли
4543942,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
4543942,7.540,Разработка программного обеспечения
4543942,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
4219,9.399,Мобильная связь
4080,44.393,Консалтинговые услуги
4080,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
2136954,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
2136954,7.540,Разработка программного обеспечения
2748,7.538,Интернет-провайдер
2748,9.401,Оптоволоконная связь
2748,9.400,Фиксированная связь
2748,9.399,Мобильная связь
1378,41.521,"Розничная сеть (электроника, бытовая техника)"
1378,8.478,"Бытовая техника, электроника, климатическое оборудование (производство)"
1378,8.480,"Бытовая техника, электроника, климатическое оборудование (продвижение, оптовая торговля)"
3239351,44.391,Кадровые агентства
3239351,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
3239351,7.540,Разработка программного обеспечения
1736538,7.540,Разработка программного обеспечения
680293,44.393,Консалтинговые услуги
680293,44.391,Кадровые агентства
41862,7.540,Разработка программного обеспечения
41862,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
5552,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
2383,43.647,Банк
2765,44.393,Консалтинговые услуги
2765,44.391,Кадровые агентства
4456441,44.391,Кадровые агентства
1833,43.646,"Страхование, перестрахование"
1833,43.645,НПФ
1833,43.648,"Управляющая, инвестиционная компания (управление активами)"
1833,43.647,Банк
976931,39.441,"Научно-исследовательская, научная, академическая деятельность"
2987,7.540,Разработка программного обеспечения
2987,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
1918078,7.540,Разработка программного обеспечения
869045,5.463,Железнодорожные перевозки
668033,388.510,"Дорожно-строительная техника, сельскохозяйственная и другая спец.техника, оборудование, лифты, погрузочно-разгрузочное, складское оборудование (продвижение, оптовая торговля)"
668033,388.509,"Дорожно-строительная техника, сельскохозяйственная и другая спец.техника, оборудование, лифты, погрузочно-разгрузочное, складское оборудование (монтаж, сервис, ремонт)"
668033,388.508,"Дорожно-строительная техника, сельскохозяйственная и другая спец.техника, оборудование, лифты, погрузочно-разгрузочное, складское оборудование (производство)"
608405,46.469,"Атомная энергетика (генерация электроэнергии, АЭС)"
608405,46.472,"Альтернативная энергетика: гео-, ветро-, солнце-, био- (генерация электроэнергии)"
608405,47.612,"Нефтепереработка, нефтехимия (производство)"
608405,44.393,Консалтинговые услуги
608405,44.391,Кадровые агентства
740,45.535,"Добыча и обогащение руд черных, цветных, драгоценных, благородных, редких металлов"
740,24.638,"Драгоценные, благородные и редкие металлы (продвижение, оптовая торговля)"
740,24.637,"Драгоценные, благородные и редкие металлы (производство)"
740,24.635,"Цветная металлургия (выплавка, металлопрокат)"
65772,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
234264,7.540,Разработка программного обеспечения
4551663,5.467,"Курьерская, почтовая доставка"
4551663,5.462,Автомобильные перевозки
4551663,5.466,Складские услуги
4551663,5.465,"Транспортно-логистические комплексы, порты (воздушный, водный, железнодорожный)"
1039500,388.493,"Оборудование для пищевой промышленности, упаковки и хранения (производство)"
1039500,388.491,"Оборудование для ресторанов, гостиниц, кейтеринга, розничной торговли  (монтаж, сервис, ремонт)"
118853,44.391,Кадровые агентства
3379,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
3379,7.540,Разработка программного обеспечения
3379,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
139,7.540,Разработка программного обеспечения
139,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
533,41.519,Розничная сеть (мобильный ретейл)
65093,7.540,Разработка программного обеспечения
80,43.647,Банк
815269,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
815269,7.540,Разработка программного обеспечения
1124,44.391,Кадровые агентства
1769199,48.679,Клинические исследования
1769199,48.683,"Фармацевтическая продукция (продвижение, оптовая торговля)"
23040,43.646,"Страхование, перестрахование"
23040,43.645,НПФ
23040,43.650,"Финансово-кредитное посредничество (биржа, брокерская деятельность, выпуск и обслуживание карт, оценка рисков, обменные пункты, агентства по кредитованию, инкассация, ломбард, платежные системы)"
23040,43.648,"Управляющая, инвестиционная компания (управление активами)"
23040,43.647,Банк
4573853,7.540,Разработка программного обеспечения
3809,47.614,"Нефтехимия (продвижение, оптовая торговля)"
3809,47.612,"Нефтепереработка, нефтехимия (производство)"
3809,47.616,"ГСМ, топливо (розничная торговля)"
4233,41.517,Розничная сеть (продуктовая)
4233,41.512,"Розничная сеть (drogerie, товары повседневного спроса)"
4233,7.540,Разработка программного обеспечения
4233,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
722007,7.540,Разработка программного обеспечения
1574037,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
1574037,7.540,Разработка программного обеспечения
1234509,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
1234509,7.540,Разработка программного обеспечения
1234509,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
4256239,45.535,"Добыча и обогащение руд черных, цветных, драгоценных, благородных, редких металлов"
864086,44.391,Кадровые агентства
6769,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
3842701,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
115,13.660,"Строительство коммерческих объектов (торговые площади, офисные здания)"
115,7.540,Разработка программного обеспечения
115,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
3410563,44.393,Консалтинговые услуги
3410563,44.391,Кадровые агентства
3410563,11.459,"Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок"
3491569,39.441,"Научно-исследовательская, научная, академическая деятельность"
3491569,52.653,"Музей, галерея, театр"
3491569,7.540,Разработка программного обеспечения
3491569,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
3337,8.486,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (продвижение, оптовая торговля)"
3337,8.483,"Промышленное, бытовое электрооборудование и электротехника (продвижение, оптовая торговля)"
3337,8.481,"Промышленное, бытовое электрооборудование и электротехника (производство)"
1160188,39.442,"Вуз, ссуз колледж, ПТУ"
1201,44.393,Консалтинговые услуги
1068750,15.548,"Техническое обслуживание, ремонт автомобилей"
1068750,15.547,"Автозапчасти, шины (розничная торговля)"
1068750,15.546,"Автокомпоненты, запчасти, шины (продвижение, оптовая торговля)"
1068750,15.544,Розничная торговля автомобилями (дилерский центр)
1068750,15.543,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)"
124,44.391,Кадровые агентства
2343,41.515,"Розничная сеть (одежда, обувь, аксессуары)"
2343,41.520,Розничная сеть (спортивные товары)
8582,41.518,Розничная сеть (DIY и товары для дома)
200512,43.648,"Управляющая, инвестиционная компания (управление активами)"
22494,7.540,Разработка программного обеспечения
2873,8.486,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (продвижение, оптовая торговля)"
2873,8.484,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (производство)"
2873,9.401,Оптоволоконная связь
2873,9.400,Фиксированная связь
2873,9.399,Мобильная связь
714386,7.540,Разработка программного обеспечения
714386,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
